City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Ghanzi,BW,2020-10-31 17:36:49,-21.57,21.78,85.93,18,58,8.84
95,Vostok,RU,2020-10-31 17:36:49,46.49,135.88,34.27,90,97,5.53
96,Labuan,MY,2020-10-31 17:36:50,5.28,115.24,77.0,94,20,2.24
97,Saint-Philippe,RE,2020-10-31 17:34:46,-21.36,55.77,68.0,64,0,5.82
98,Tuktoyaktuk,CA,2020-10-31 17:34:06,69.45,-133.04,-5.8,83,40,5.82
99,Huarmey,PE,2020-10-31 17:36:50,-10.07,-78.15,69.19,66,100,10.11
100,Thompson,CA,2020-10-31 17:29:55,55.74,-97.86,15.8,78,90,19.46
101,Meulaboh,ID,2020-10-31 17:34:38,4.14,96.13,78.33,83,100,3.51
102,Hervey Bay,AU,2020-10-31 17:33:50,-25.3,152.85,75.99,82,3,4.0
103,Avarua,CK,2020-10-31 17:32:37,-21.21,-159.78,71.6,88,100,12.75
104,Bathsheba,BB,2020-10-31 17:33:22,13.22,-59.52,84.2,79,40,20.8
105,Tonj,SS,2020-10-31 17:36:51,7.27,28.68,77.22,78,13,0.83
106,Petropavlovsk-Kamchatskiy,RU,2020-10-31 17:36:48,53.05,158.65,41.0,60,40,15.66
107,Tura,IN,2020-10-31 17:34:06,25.52,90.22,71.91,96,100,2.3
108,Meadow Lake,US,2020-10-31 17:36:51,34.8,-106.54,60.01,54,40,5.53
109,Turukhansk,RU,2020-10-31 17:36:51,65.82,87.98,16.63,97,100,20.49
110,Hasaki,JP,2020-10-31 17:33:58,35.73,140.83,44.6,93,20,5.82
111,Christchurch,NZ,2020-10-31 17:36:52,-43.53,172.63,52.0,93,91,2.24
112,Mehamn,NO,2020-10-31 17:33:01,71.04,27.85,32.2,97,90,10.83
113,Teya,RU,2020-10-31 17:36:52,60.38,92.63,11.43,90,53,5.03
114,Akdagmadeni,TR,2020-10-31 17:36:52,39.66,35.88,45.97,71,69,1.63
115,Bhan,PK,2020-10-31 17:36:52,26.56,67.72,74.73,19,0,2.75
116,Bariri,BR,2020-10-31 17:36:52,-22.07,-48.74,77.0,65,75,14.99
117,Erzin,TR,2020-10-31 17:36:41,36.96,36.2,72.0,74,39,1.01
118,Taurage,LT,2020-10-31 17:36:52,55.25,22.29,43.79,92,0,4.18
